id,Title,Content,SKU,"Product Type","Parent Product ID",Test,Trucks,Wheels,"Product Attributes","Regular Price"
992,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Electro Luxe 180mm 50° RKP","Onsen 100a",,80
991,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Gunmetal Grey 165mm 43° RKP","Onsen 100a",,80
990,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Gunmetal grey 165mm 50° RKP","Onsen 100a",,80
986,"Hibiscus complete",,,variable,332,,"Paris Trucks Tiffany White 180mm 50° RKP","Onsen 100a",,80
985,"Hibiscus complete",,,variable,332,,"Paris Trucks White 180mm 43° RKP","Onsen 100a",,80
987,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Gunmetal Grey 180mm 50° RKP","Onsen 100a",,80
988,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Gunmetal Grey 180mm 43° RKP","Onsen 100a",,80
977,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Electro Luxe 165mm 43° RKP","Orangatang Keanu 80a 66mm",,80
978,"Hibiscus complete",,,variable,332,,"Paris Trucks Satin Red 180mm 50° RKP","Orangatang Keanu 80a 66mm",,80
979,"Hibiscus complete",,,variable,332,,"Paris Trucks Satin Blue 180mm 50° RKP","Orangatang Keanu 80a 66mm",,80
980,"Hibiscus complete",,,variable,332,,"Paris Trucks Matte Black 180mm 50° RKP","Orangatang Keanu 80a 66mm",,80
981,"Hibiscus complete",,,variable,332,,"Paris Trucks Matt Kienzle Signature 180mm 50° RKP","Orangatang Keanu 80a 66mm",,80
982,"Hibiscus complete",,,variable,332,,"Paris Trucks Gold 180mm 43° RKP","Orangatang Keanu 80a 66mm",,80
984,"Hibiscus complete",,,variable,332,,"Paris Street Trucks RAW 169mm TKP","Orangatang Keanu 80a 66mm",,80
983,"Hibiscus complete",,,variable,332,,"Paris Trucks Black 150mm 50° RKP","Orangatang Keanu 80a 66mm",,80
968,"Hibiscus complete",,,variable,332,,"Paris Street Trucks RAW 169mm TKP","Orangatang Keanu 83a 66mm",,80
969,"Hibiscus complete",,,variable,332,,"Paris Trucks White 180mm 43° RKP","Orangatang Keanu 80a 66mm",,80
970,"Hibiscus complete",,,variable,332,,"Paris Trucks Tiffany White 180mm 50° RKP","Orangatang Keanu 80a 66mm",,80
971,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Gunmetal Grey 180mm 50° RKP","Orangatang Keanu 80a 66mm",,80
972,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Gunmetal Grey 180mm 43° RKP","Orangatang Keanu 80a 66mm",,80
975,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Electro Luxe 180mm 50° RKP","Orangatang Keanu 80a 66mm",,80
976,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Electro Luxe 180mm 43° RKP","Orangatang Keanu 80a 66mm",,80
974,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Gunmetal Grey 165mm 43° RKP","Orangatang Keanu 80a 66mm",,80
973,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Gunmetal grey 165mm 50° RKP","Orangatang Keanu 80a 66mm",,80
964,"Hibiscus complete",,,variable,332,,"Paris Trucks Matte Black 180mm 50° RKP","Orangatang Keanu 83a 66mm",,80
966,"Hibiscus complete",,,variable,332,,"Paris Trucks Gold 180mm 43° RKP","Orangatang Keanu 83a 66mm",,80
967,"Hibiscus complete",,,variable,332,,"Paris Trucks Black 150mm 50° RKP","Orangatang Keanu 83a 66mm",,80
960,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Electro Luxe 180mm 43° RKP","Orangatang Keanu 83a 66mm",,80
961,"Hibiscus complete",,,variable,332,,"Paris Trucks Savants Electro Luxe 165mm 43° RKP","Orangatang Keanu 83a 66mm",,80
962,"Hibiscus complete",,,variable,332,,"Paris Trucks Satin Red 180mm 50° RKP","Orangatang Keanu 83a 66mm",,80
963,"Hibiscus complete",,,variable,332,,"Paris Trucks Satin Blue 180mm 50° RKP","Orangatang Keanu 83a 66mm",,80
964,"Hibiscus complete",,,variable,332,,"Paris Trucks Matte Black 180mm 50° RKP","Orangatang Keanu 83a 66mm",,80
966,"Hibiscus complete",,,variable,332,,"Paris Trucks Gold 180mm 43° RKP","Orangatang Keanu 83a 66mm",,80
965,"Hibiscus complete",,,variable,332,,"Paris Trucks Matt Kienzle Signature 180mm 50° RKP","Orangatang Keanu 83a 66mm",,80
947,"Hibiscus complete",,,variable,332,,"Paris Trucks Satin Blue 180mm 50° RKP","Orangatang Keanu 86a 66mm",,80
948,"Hibiscus complete",,,variable,332,,"Paris Trucks Matte Black 180mm 50° RKP","Orangatang Keanu 86a 66mm",,80
